source,lun_bawang,english,type
borneodictionary.com,abpa,"jump down, drop from above",word
borneodictionary.com,abpa,water,word
borneodictionary.com,aceh,"one, 1",word
borneodictionary.com,aco,day,word
borneodictionary.com,aco dueh,Tuesday,word
borneodictionary.com,aco enem,Saturday,word
borneodictionary.com,aco epat,Thursday,word
borneodictionary.com,aco limeh,Friday,word
borneodictionary.com,aco migu,Sunday,word
borneodictionary.com,aco satu,Monday,word
borneodictionary.com,aco sinih,today,word
borneodictionary.com,aco teluh,Wednesday,word
borneodictionary.com,ada,chin,word
borneodictionary.com,ada,ghost,word
borneodictionary.com,alad,wall,word
borneodictionary.com,alem,yesterday,word
borneodictionary.com,ali,quiet,word
borneodictionary.com,amung,all,word
borneodictionary.com,anak mate,orphan,word
borneodictionary.com,anak sut,child,word
borneodictionary.com,anam,"six, 6",word
borneodictionary.com,anid aco,every day,word
borneodictionary.com,anid kereb,every moment,word
borneodictionary.com,anun,what,word
borneodictionary.com,anun bala?,how are you?,word
borneodictionary.com,apat,"four, 4",word
borneodictionary.com,apo,roof,word
borneodictionary.com,apui ngelak,cooking fire,word
borneodictionary.com,ara,"dislike, don't want, refuse",word
borneodictionary.com,arang uned,in between,word
borneodictionary.com,asal,if,word
borneodictionary.com,atau,or,word
borneodictionary.com,awan decur,wife,word
borneodictionary.com,awan delai,husband,word
borneodictionary.com,ayat,words,word
borneodictionary.com,ba,very,word
borneodictionary.com,ba lalid,very naughty,word
borneodictionary.com,ba rayeh uni,loud sound,sentence
borneodictionary.com,ba ulai,late,word
borneodictionary.com,bala do,I am fine,word
borneodictionary.com,balih,a lie,word
borneodictionary.com,bang,in,word
borneodictionary.com,bang dalem,inside,word
borneodictionary.com,baru,"new, again",word
borneodictionary.com,baruh,are you,word
borneodictionary.com,bata' langit,blue,word
borneodictionary.com,bata' uduh,green,word
borneodictionary.com,batek,stomach,word
borneodictionary.com,batuh,"rock, stone",word
borneodictionary.com,batuh rayeh,"a stone, a rock",word
borneodictionary.com,bawang rayeh,town,word
borneodictionary.com,baya,"accompany, come with, follow",word
borneodictionary.com,belajar,learn,word
borneodictionary.com,bengil,ankle,word
